id,PROVNAME,fulladdress,x,y,PHONE,COUNTY,OWNERSHIP,CAPACITY,RESIDENTS,CERTIFICATION,INHOSP,overall_rating,FINES,FINEAMOUNT,PAYDENIALS,PAYDENIALDAYS
125063,15 CRAIGSIDE,"15 CRAIGSIDE PLACE, HONOLULU, HI, 96817",-157.848884,21.322941,8085237000,Honolulu,Non profit - Corporation,11,7,Medicare,NO,5 Stars,0,0,0,0
125038,ALOHA NURSING & REHAB CENTRE,"45-545 KAMEHAMEHA HIGHWAY, KANEOHE, HI, 96744",-157.797665,21.398538,8082472220,Honolulu,For profit - Partnership,141,125,Medicare and Medicaid,NO,3 Stars,0,0,0,0
125048,ANN PEARL NURSING FACILITY,"45-181 WAIKALUA ROAD, KANEOHE, HI, 96744",-157.795253,21.4152,8082478558,Honolulu,For profit - Corporation,104,97,Medicare and Medicaid,NO,3 Stars,0,0,0,0
125014,ARCADIA RETIREMENT RESIDENCE,"1434 PUNAHOU STREET, HONOLULU, HI, 96822",-157.833858,21.302026,8089410941,Honolulu,Non profit - Corporation,11,10,Medicare,NO,5 Stars,0,0,0,0
125020,"AVALON CARE CENTER - HONOLULU, LLC","1930 KAMEHAMEHA IV RD, HONOLULU, HI, 96819",-157.87002,21.345538,8088474834,Honolulu,For profit - Corporation,108,102,Medicare and Medicaid,NO,5 Stars,0,0,0,0
125019,CONVALESCENT CENTER OF HONOLULU,"1900 BACHELOT STREET, HONOLULU, HI, 96817",-157.85534,21.322929,8085315302,Honolulu,For profit - Corporation,182,171,Medicare and Medicaid,NO,4 Stars,0,0,0,0
125004,GARDEN ISLE HEALTHCARE,"3-3420 KUHIO HIGHWAY, SUITE 300, LIHUE, HI, 96766",-159.365596,21.98574,8082451802,Kauai,For profit - Corporation,110,98,Medicare and Medicaid,NO,5 Stars,0,0,0,0
125045,HALE ANUENUE RESTORATIVE CARE,"1333 WAIANUENUE AVENUE, HILO, HI, 96720",-155.114197,19.717018,8089616644,Hawaii,For profit - Partnership,120,113,Medicare and Medicaid,NO,5 Stars,0,0,0,0
125032,HALE HO'OLA HAMAKUA,"45-547 PLUMERIA STREET, HONOKAA, HI, 96727",-155.470107,20.076308,8089324100,Hawaii,Government - State,66,57,Medicare and Medicaid,YES,2 Stars,2,5000,0,2
125062,"HALE KUPUNA HERITAGE HOME, LLC","4297A OMAO ROAD, KOLOA, HI, 96756",-159.485846,21.92613,8087427591,Kauai,For profit - Corporation,84,81,Medicare and Medicaid,NO,4 Stars,0,0,0,0
125007,HALE MAKUA HEALTH SERVICES,"472 KAULANA STREET, KAHULUI, HI, 96732",-156.476203,20.879216,8088772761,Maui,Non profit - Corporation,254,214,Medicare and Medicaid,NO,4 Stars,0,0,0,0
125056,HALE MAKUA HEALTH SERVICES,"1540 LOWER MAIN STREET, WAILUKU, HI, 96793",-156.495215,20.893235,8082431722,Maui,Non profit - Corporation,90,82,Medicare and Medicaid,NO,4 Stars,0,0,0,0
125050,HALE MALAMALAMA,"6163 SUMMER STREET, HONOLULU, HI, 96821",-157.720753,21.285432,8083960537,Honolulu,For profit - Corporation,40,39,Medicare and Medicaid,NO,2 Stars,0,0,0,0
125011,HALE NANI REHABILITATION AND NURSING CENTER,"1677 PENSACOLA STREET, HONOLULU, HI, 96822",-157.83974,21.308138,8085373371,Honolulu,For profit - Corporation,288,271,Medicare and Medicaid,NO,2 Stars,0,0,0,0
125047,HALE OLA KINO,"1314 KALAKAUA AVENUE, 2ND FLOOR, HONOLULU, HI, 96826",-157.837189,21.29883,8089834444,Honolulu,For profit - Corporation,32,31,Medicare and Medicaid,NO,5 Stars,0,0,0,0
125033,HARRY AND JEANETTE WEINBERG CARE CENTER,"45-090 NAMOKU ST, KANEOHE, HI, 96744",-157.78298,21.400929,8082471670,Honolulu,Non profit - Corporation,44,43,Medicare and Medicaid,NO,5 Stars,0,0,0,0
125002,HILO MEDICAL CENTER,"1190 WAIANUENUE AVENUE, HILO, HI, 96720",-155.112991,19.718234,8089323000,Hawaii,Government - State,134,107,Medicare and Medicaid,YES,4 Stars,0,0,0,0
125055,HI'OLANI CARE CENTER AT KAHALA NUI,"4389 MALIA STREET, HONOLULU, HI, 96821",-157.78268,21.279709,8082187052,Honolulu,Non profit - Corporation,20,9,Medicare and Medicaid,NO,5 Stars,0,0,0,0
125005,ISLAND NURSING HOME,"1205 ALEXANDER STREET, HONOLULU, HI, 96826",-157.831807,21.297656,8089465027,Honolulu,For profit - Corporation,42,39,Medicare and Medicaid,NO,5 Stars,0,0,0,0
125051,KA PUNAWAI OLA,"91-575 FARRINGTON HIGHWAY, KAPOLEI, HI, 96707",-158.07671,21.337998,8086749262,Honolulu,For profit - Corporation,120,105,Medicare and Medicaid,NO,2 Stars,0,0,1,1
125030,KAHUKU MEDICAL CENTER,"56-117 PUALALEA STREET, KAHUKU, HI, 96731",-157.954173,21.676558,8082939221,Honolulu,Non profit - Other,10,10,Medicare and Medicaid,YES,5 Stars,0,0,0,0
125028,KAU HOSPITAL,"1 KAMANI STREET, PAHALA, HI, 96777",-155.472115,19.199643,8089282050,Hawaii,Government - State,16,13,Medicare and Medicaid,YES,5 Stars,0,0,0,0
125061,KAUAI CARE CENTER,"9611 WAENA ROAD, WAIMEA, HI, 96796",-159.670597,21.957711,8083381681,Kauai,For profit - Corporation,53,38,Medicare and Medicaid,NO,5 Stars,0,0,0,0
125021,KAUAI VETERANS MEMORIAL HOSPITAL,"4643 WAIMEA CANYON RD, WAIMEA, HI, 96796",-159.667367,21.963027,8083389431,Kauai,Government - State,20,19,Medicare and Medicaid,YES,5 Stars,0,0,0,0
125060,KFH - MALAMA 'OHANA NURSING AND REHAB CENTER,"3288 MOANALUA ROAD, HONOLULU, HI, 96819",-157.899511,21.363393,8084327737,Honolulu,Non profit - Corporation,28,15,Medicare and Medicaid,YES,3 Stars,1,2500,1,2
125031,KOHALA HOSPITAL,"54-383 HOSPITAL ROAD, KAPAAU, HI, 96755",-155.796631,20.232303,8088896211,Hawaii,Government - State,24,20,Medicare and Medicaid,YES,4 Stars,0,0,0,0
125027,KONA COMMUNITY HOSPITAL,"79-1019 HAUKAPILA STREET, KEALAKEKUA, HI, 96750",-155.917386,19.519948,8083229311,Hawaii,Government - State,18,8,Medicare and Medicaid,YES,5 Stars,0,0,0,0
125026,KUAKINI GERIATRIC CARE,"347 NORTH KUAKINI STREET, HONOLULU, HI, 96817",-157.856772,21.32107,8085479357,Honolulu,Non profit - Corporation,187,170,Medicare and Medicaid,YES,3 Stars,0,0,0,0
125003,KULA HOSPITAL,"100 KEOKEA PLACE, KULA, HI, 96790",-156.357047,20.7012,8088764366,Maui,For profit - Corporation,100,74,Medicare and Medicaid,YES,2 Stars,1,10255,1,2
125057,KULANA MALAMA,"91-1360 KARAYAN STREET, EWA BEACH, HI, 96706",-158.02999,21.349147,8086811203,Honolulu,For profit - Corporation,30,27,Medicare and Medicaid,NO,5 Stars,0,0,0,0
125023,LANAI COMMUNITY HOSPITAL,"628 7TH STREET, LANAI CITY, HI, 96763",-156.917072,20.82656,8085658450,Maui,Government - State,10,10,Medicare and Medicaid,YES,3 Stars,0,0,0,0
125010,LEAHI HOSPITAL,"3675 KILAUEA AVENUE, HONOLULU, HI, 96816",-157.801911,21.273047,8087338000,Honolulu,Government - State,155,148,Medicare and Medicaid,NO,4 Stars,0,0,0,0
125040,LIFE CARE CENTER OF HILO,"944 WEST KAWAILANI STREET, HILO, HI, 96720",-155.095072,19.683776,8089599151,Hawaii,For profit - Corporation,252,231,Medicare and Medicaid,NO,2 Stars,2,5000,0,2
125052,LIFE CARE CENTER OF KONA,"78-6957 KAMEHAMEHA III ROAD, KAILUA KONA, HI, 96740",-155.959832,19.567971,8083222790,Hawaii,For profit - Corporation,94,85,Medicare and Medicaid,NO,2 Stars,2,2600,0,2
125041,LILIHA HEALTHCARE CENTER,"1814 LILIHA STREET, HONOLULU, HI, 96817",-157.857296,21.324101,8085379557,Honolulu,For profit - Corporation,92,89,Medicare and Medicaid,NO,5 Stars,0,0,0,0
125009,MALUHIA,"1027 HALA DRIVE, HONOLULU, HI, 96817",-157.861534,21.329307,8088323000,Honolulu,Government - State,158,151,Medicare and Medicaid,NO,5 Stars,0,0,0,0
125013,MAUNALANI NURSING AND REHABILITATION CENTER,"5113 MAUNALANI CIRCLE, HONOLULU, HI, 96816",-157.789173,21.297534,8087320771,Honolulu,Non profit - Corporation,100,96,Medicare and Medicaid,NO,4 Stars,0,0,0,0
125024,NUUANU HALE,"2900 PALI HIGHWAY, HONOLULU, HI, 96817",-157.840333,21.336178,8085956311,Honolulu,For profit - Corporation,75,74,Medicare and Medicaid,NO,1 Star,0,0,0,0
125042,OAHU CARE FACILITY,"1808 SOUTH BERETANIA STREET, HONOLULU, HI, 96826",-157.831495,21.297539,8089731900,Honolulu,For profit - Partnership,82,78,Medicare and Medicaid,NO,3 Stars,0,0,0,0
125059,PALOLO CHINESE HOME,"2459 10TH AVENUE, HONOLULU, HI, 96816",-157.787179,21.303869,8087372555,Honolulu,Non profit - Corporation,61,61,Medicare and Medicaid,NO,2 Stars,0,0,0,0
125043,PEARL CITY NURSING HOME,"919 LEHUA AVENUE, PEARL CITY, HI, 96782",-157.970915,21.391515,8084531919,Honolulu,For profit - Corporation,122,116,Medicare and Medicaid,NO,3 Stars,0,0,0,0
125046,PU'UWAI 'O MAKAHA,"84-390 JADE STREET, WAIANAE, HI, 96792",-158.206219,21.470201,8086959508,Honolulu,For profit - Corporation,93,80,Medicare and Medicaid,NO,4 Stars,0,0,0,0
125029,SAMUEL MAHELONA MEMORIAL HOSPITAL,"4800 KAWAIHAU ROAD, KAPAA, HI, 96746",-159.314201,22.087484,8088224961,Kauai,Government - State,66,54,Medicare and Medicaid,YES,5 Stars,0,0,0,0
125037,THE QUEEN`S MEDICAL CENTER,"1301 PUNCHBOWL STREET, HONOLULU, HI, 96813",-157.854882,21.307872,8085474455,Honolulu,Non profit - Corporation,28,25,Medicare and Medicaid,YES,4 Stars,0,0,0,0
125015,WAHIAWA GENERAL HOSPITAL,"128 LEHUA STREET, WAHIAWA, HI, 96786",-158.026225,21.499037,8086218411,Honolulu,Non profit - Corporation,93,89,Medicare and Medicaid,YES,2 Stars,0,0,0,0
125058,YUKIO OKUTSU STATE VETERANS HOME,"1180 WAIANUENUE AVENUE, HILO, HI, 96720",-155.10583,19.717104,8089611500,Hawaii,Government - State,95,79,Medicare and Medicaid,NO,4 Stars,0,0,0,0
